feature_set,base_model,mean_abs_shap,mean_shap
Conventional,Random Forest,1.5214255220509159,-0.4847441472136753
Conventional,Extra Trees,1.5126193011143574,-0.500513583334104
Conventional,CatBoost,0.14288942495192714,-0.04092360027696228
Conventional,XGBoost,0.1105571752448145,-0.028816663670266657
Conventional,Logistic Regression,0.10853915218819739,-0.03193995226391057
Conventional,LightGBM,0.08258780395495319,0.01987950816356152
AlphaEarth Embeddings,Logistic Regression,1.1469837029324355,-0.3420125600324476
AlphaEarth Embeddings,Extra Trees,1.0473814982849206,-0.2793938051769481
AlphaEarth Embeddings,CatBoost,0.8013291065583628,-0.22139393105896
AlphaEarth Embeddings,Random Forest,0.5529229900217356,0.1507412330227773
AlphaEarth Embeddings,XGBoost,0.3382246658756581,-0.09017213834870441
AlphaEarth Embeddings,LightGBM,0.09826642631920465,0.022796311347547758
Conventional + AlphaEarth Embeddings,Extra Trees,1.2338145120098976,-0.3590393607786365
Conventional + AlphaEarth Embeddings,XGBoost,0.8786017584555953,-0.2284006936494658
Conventional + AlphaEarth Embeddings,CatBoost,0.5357458504203833,-0.1559783264384798
Conventional + AlphaEarth Embeddings,Logistic Regression,0.37606734286704113,-0.11444479096456814
Conventional + AlphaEarth Embeddings,Random Forest,0.24683805825070115,-0.07107943610946396
Conventional + AlphaEarth Embeddings,LightGBM,0.06508706684065296,-0.015216406992418073
