feature_set,model,label,bin,mean_predicted_probability,fraction_observed_landslide,brier,n
conventional_v3_alphaearth_embeddings,xgboost,Fused v3 XGBoost,1,0.0009238817232449366,0.006024096385542169,0.06313773431515446,3316
conventional_v3_alphaearth_embeddings,xgboost,Fused v3 XGBoost,2,0.002362909743278967,0.0,0.06313773431515446,3316
conventional_v3_alphaearth_embeddings,xgboost,Fused v3 XGBoost,3,0.006145721817040214,0.027190332326283987,0.06313773431515446,3316
conventional_v3_alphaearth_embeddings,xgboost,Fused v3 XGBoost,4,0.018026265677580804,0.05421686746987952,0.06313773431515446,3316
conventional_v3_alphaearth_embeddings,xgboost,Fused v3 XGBoost,5,0.06985701549674447,0.1299093655589124,0.06313773431515446,3316
conventional_v3_alphaearth_embeddings,xgboost,Fused v3 XGBoost,6,0.36171118968778904,0.5345345345345346,0.06313773431515446,3316
conventional_v3_alphaearth_embeddings,xgboost,Fused v3 XGBoost,7,0.7848826038114952,0.8606060606060606,0.06313773431515446,3316
conventional_v3_alphaearth_embeddings,xgboost,Fused v3 XGBoost,8,0.9443335576229784,0.9578313253012049,0.06313773431515446,3316
conventional_v3_alphaearth_embeddings,xgboost,Fused v3 XGBoost,9,0.9876418551289423,0.9788519637462235,0.06313773431515446,3316
conventional_v3_alphaearth_embeddings,xgboost,Fused v3 XGBoost,10,0.9975048165364437,1.0,0.06313773431515446,3316
conventional_v3_alphaearth_embeddings,catboost,Fused v3 CatBoost,1,0.0014179309322871145,0.0,0.06368443014597652,3316
conventional_v3_alphaearth_embeddings,catboost,Fused v3 CatBoost,2,0.003896152302045139,0.009036144578313253,0.06368443014597652,3316
conventional_v3_alphaearth_embeddings,catboost,Fused v3 CatBoost,3,0.009655564933101308,0.030211480362537766,0.06368443014597652,3316
conventional_v3_alphaearth_embeddings,catboost,Fused v3 CatBoost,4,0.02830265330622592,0.03614457831325301,0.06368443014597652,3316
conventional_v3_alphaearth_embeddings,catboost,Fused v3 CatBoost,5,0.0960733700271206,0.1419939577039275,0.06368443014597652,3316
conventional_v3_alphaearth_embeddings,catboost,Fused v3 CatBoost,6,0.3801186153683583,0.5240963855421686,0.06368443014597652,3316
conventional_v3_alphaearth_embeddings,catboost,Fused v3 CatBoost,7,0.7691512068310535,0.879154078549849,0.06368443014597652,3316
conventional_v3_alphaearth_embeddings,catboost,Fused v3 CatBoost,8,0.9330203900264438,0.9457831325301205,0.06368443014597652,3316
conventional_v3_alphaearth_embeddings,catboost,Fused v3 CatBoost,9,0.9850188238095307,0.9818731117824774,0.06368443014597652,3316
conventional_v3_alphaearth_embeddings,catboost,Fused v3 CatBoost,10,0.99780137860418,1.0,0.06368443014597652,3316
conventional_v3_alphaearth_embeddings,stacked_l2_logistic,Fused v3 Stacked Ensemble,1,0.018382486867458126,0.009036144578313253,0.060977079983270635,3316
conventional_v3_alphaearth_embeddings,stacked_l2_logistic,Fused v3 Stacked Ensemble,2,0.024754465735006004,0.018072289156626505,0.060977079983270635,3316
conventional_v3_alphaearth_embeddings,stacked_l2_logistic,Fused v3 Stacked Ensemble,3,0.03080189492239649,0.021148036253776436,0.060977079983270635,3316
conventional_v3_alphaearth_embeddings,stacked_l2_logistic,Fused v3 Stacked Ensemble,4,0.04892502580718926,0.05120481927710843,0.060977079983270635,3316
conventional_v3_alphaearth_embeddings,stacked_l2_logistic,Fused v3 Stacked Ensemble,5,0.12087852225564351,0.13897280966767372,0.060977079983270635,3316
conventional_v3_alphaearth_embeddings,stacked_l2_logistic,Fused v3 Stacked Ensemble,6,0.5077624127696573,0.5030120481927711,0.060977079983270635,3316
conventional_v3_alphaearth_embeddings,stacked_l2_logistic,Fused v3 Stacked Ensemble,7,0.9079905726862888,0.8765060240963856,0.060977079983270635,3316
conventional_v3_alphaearth_embeddings,stacked_l2_logistic,Fused v3 Stacked Ensemble,8,0.9717167809709096,0.9607250755287009,0.060977079983270635,3316
conventional_v3_alphaearth_embeddings,stacked_l2_logistic,Fused v3 Stacked Ensemble,9,0.9869078748414931,0.9848942598187311,0.060977079983270635,3316
conventional_v3_alphaearth_embeddings,stacked_l2_logistic,Fused v3 Stacked Ensemble,10,0.9930943277142702,0.9849397590361446,0.060977079983270635,3316
