feature,feature_name,mean_abs_shap,mean_shap
log1p_dist_road_m,Distance to roads,1.5798273906338545,-0.32784092839849194
A16,AlphaEarth A16,0.7442320444236268,-0.16085390015696696
A55,AlphaEarth A55,0.43706276932585447,0.0013291280437363684
valley_depth,Valley depth,0.4226550217920209,-0.07730516405599548
profile_curvature,Profile curvature,0.3254102963940044,-0.07364955806993907
elevation_m,Elevation,0.29519708399503536,0.003243087980776669
tri,Terrain ruggedness,0.288257797522371,-0.04003775450181313
A44,AlphaEarth A44,0.2605694089196518,-0.0750728582351703
log1p_dist_river_m,Distance to rivers/streams,0.22966385422917693,0.03294881587233936
log1p_dist_fault_m,Distance to active faults,0.21665255665340238,-0.022977453333772067
plan_curvature,Plan curvature,0.18861407752014323,0.002299636942262105
A25,AlphaEarth A25,0.1635429266708795,-0.0008863996690020788
A13,AlphaEarth A13,0.1341809056280721,-0.03410982554200415
A46,AlphaEarth A46,0.12555254916157152,-0.002138066693493167
A26,AlphaEarth A26,0.1249978812516063,-0.00848411886482703
A09,AlphaEarth A09,0.12416246221871563,-0.010945856216543991
A15,AlphaEarth A15,0.11855575813148649,-0.02662848260109935
A34,AlphaEarth A34,0.11823963877601608,-0.024496071011296274
A14,AlphaEarth A14,0.11729657235962458,0.011648996509332411
A37,AlphaEarth A37,0.1172314965416017,-0.011756482053335461
A22,AlphaEarth A22,0.11456385039406813,0.02381059085171198
A60,AlphaEarth A60,0.10642603308064816,-0.003006745228509246
A47,AlphaEarth A47,0.10093793685072736,-0.012307414287190172
rain_max_1day,Max 1-day rainfall,0.09898095905185568,-0.00234052837730565
A52,AlphaEarth A52,0.09857475742511514,0.0025906661093494125
A08,AlphaEarth A08,0.09425577187994696,0.007201496697221492
A02,AlphaEarth A02,0.0903378189793739,0.015564959115490584
A51,AlphaEarth A51,0.08768654528071289,-0.008986241712279939
soil_type,Soil type,0.08747226170411168,-0.003892834578154136
rain_monsoon_total,Monsoon rainfall,0.08384390042937942,0.003930631852979185
A17,AlphaEarth A17,0.08111055050787484,-0.01857298637826287
A01,AlphaEarth A01,0.07896826844180484,-0.00439243156540634
A06,AlphaEarth A06,0.07852699780387762,-0.00500684086348238
A30,AlphaEarth A30,0.0773494707689543,-0.012841830523617422
A27,AlphaEarth A27,0.0771948376840949,0.00041699414190176466
twi,TWI,0.07542235415342873,0.001746763358435902
A39,AlphaEarth A39,0.0710198920596644,-0.006921936737236106
ndvi_median,NDVI median,0.07056797814166689,0.008917090313489693
A38,AlphaEarth A38,0.07040880456526706,0.005036058108509069
A50,AlphaEarth A50,0.06313373630456037,-0.00185073941176253
A24,AlphaEarth A24,0.061035324959183714,-0.012782018156547191
A56,AlphaEarth A56,0.059854057300602,0.003962790976917507
lithology_code,Lithology/geology,0.05890758123842517,-0.005697965600221454
aspect_deg,Aspect,0.05738477813816321,-0.00880036970239758
A45,AlphaEarth A45,0.054808836869334354,-0.0009687638559976277
A43,AlphaEarth A43,0.05395937500264705,-0.010210633254834688
A36,AlphaEarth A36,0.053938783525845704,-0.004573854244275232
A03,AlphaEarth A03,0.05008822917020658,-0.008436477134475633
A19,AlphaEarth A19,0.04833199219471238,-0.003261501856113269
A54,AlphaEarth A54,0.04475416237329328,-0.004105119420645057
A58,AlphaEarth A58,0.038574084129987356,-0.001666518840064141
A20,AlphaEarth A20,0.03701563860864825,-0.008796187701088882
A48,AlphaEarth A48,0.03672349804257721,-0.006262218278009094
A05,AlphaEarth A05,0.033420933951755445,-0.005656444966717976
A61,AlphaEarth A61,0.032274652392234905,-0.0027224795437562513
A07,AlphaEarth A07,0.03153619561630618,0.0019591311819145136
A21,AlphaEarth A21,0.03090697132571404,0.0006189559183797962
A00,AlphaEarth A00,0.029077446465616604,-0.0021935021667335683
A33,AlphaEarth A33,0.02864057908848096,-0.00011517154114602042
A57,AlphaEarth A57,0.028624621073096098,-0.0008720559572506069
A04,AlphaEarth A04,0.02836516380511129,0.00019672193543267524
A29,AlphaEarth A29,0.02798909059921061,-0.0035663881308734833
ndvi_amplitude,NDVI amplitude,0.026910773870829692,0.004196006627315666
A41,AlphaEarth A41,0.023957850696153676,-0.001930103160822374
A49,AlphaEarth A49,0.023745326329808292,-0.0026842034054142014
A31,AlphaEarth A31,0.02247028681392782,-0.0038346273143085026
A32,AlphaEarth A32,0.022126966399998237,-0.0015747790855879468
A18,AlphaEarth A18,0.01985621698858138,-0.00030208821419238404
A42,AlphaEarth A42,0.018654156873118506,-0.0024442552976436374
A35,AlphaEarth A35,0.018054498755938175,-0.001601107314239585
A40,AlphaEarth A40,0.016924520030827245,0.0036074771579781835
A53,AlphaEarth A53,0.016581111050275318,-0.0018586939291477496
A28,AlphaEarth A28,0.014070693545777288,0.0028140664664962492
A23,AlphaEarth A23,0.013759938813022643,-0.00021670452237944105
A10,AlphaEarth A10,0.0136233624971266,-0.00621941029870766
A12,AlphaEarth A12,0.013045276873768675,-0.0017805251566440946
A11,AlphaEarth A11,0.012763903316731816,-0.0024251453759748316
eq_density_ms5,Earthquake density > Ms5,0.012522253126485732,-0.0001403393473996156
A62,AlphaEarth A62,0.011585381766897737,0.001970584194189383
A59,AlphaEarth A59,0.010650580848291296,-4.268428188709789e-05
slope_deg,Slope,0.009590984653818102,-0.0014504961584531728
A63,AlphaEarth A63,0.006530417374190484,0.0007383191147559175
modis_lc_type1,MODIS land cover,0.0057328721006329126,-0.0011974137510390311
