feature_set,feature_set_name,model,model_name,fold,n_train,n_test,n_test_pos,n_test_neg,roc_auc,pr_auc,balanced_accuracy,f1,brier,threshold
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),1,2592,724,399,325,0.9127588201272412,0.9307718611116046,0.8247117794486216,0.8241610738255034,0.12272593942281157,0.5264971287510459
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),2,2411,905,532,373,0.9346338366022293,0.9511259123015785,0.8424101473522949,0.8768382352941176,0.09947570526182992,0.4415997325713589
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),3,2673,643,196,447,0.8426242980413642,0.7325142525545585,0.6727617221385198,0.5263157894736842,0.15517242910417886,0.4877116569784357
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),4,2846,470,140,330,0.9572077922077922,0.9182472236567834,0.882034632034632,0.797583081570997,0.08378656609903748,0.40487084732553336
conventional_v3,Conventional v3,logistic_l2,Logistic Regression (L2),5,2742,574,241,333,0.9677519843494947,0.9573017240245487,0.9105391698752694,0.8927875243664717,0.08321968749800598,0.5384300556041217
conventional_v3,Conventional v3,random_forest,Random Forest,1,2592,724,399,325,0.9560593792172739,0.960561799401375,0.8361750530171583,0.8155619596541787,0.11318018095708747,0.535607335201545
conventional_v3,Conventional v3,random_forest,Random Forest,2,2411,905,532,373,0.968775826966881,0.9754076556330716,0.9087413574149852,0.912142152023692,0.08516750680039008,0.49917360570564046
conventional_v3,Conventional v3,random_forest,Random Forest,3,2673,643,196,447,0.942758982787746,0.9034218265800398,0.8266675797835913,0.7833827893175074,0.09745123825160401,0.4641372045248752
conventional_v3,Conventional v3,random_forest,Random Forest,4,2846,470,140,330,0.9602164502164503,0.9136320718404919,0.8371212121212122,0.7777777777777778,0.08072278114717321,0.46090283752892536
conventional_v3,Conventional v3,random_forest,Random Forest,5,2742,574,241,333,0.9781690404097043,0.9672582512781788,0.8805402913286731,0.8628318584070797,0.0704693683200025,0.47878655554504024
conventional_v3,Conventional v3,extra_trees,Extra Trees,1,2592,724,399,325,0.9518719876614613,0.9604691989091574,0.7489145941777521,0.67430441898527,0.14165856809766572,0.5685333832814251
conventional_v3,Conventional v3,extra_trees,Extra Trees,2,2411,905,532,373,0.9701616642141547,0.9746639295214491,0.8007669979237638,0.759493670886076,0.11066776159755108,0.6010074262253974
conventional_v3,Conventional v3,extra_trees,Extra Trees,3,2673,643,196,447,0.9348947632744373,0.8837574004837165,0.70788818883258,0.5882352941176471,0.11490011299684812,0.5013410420164278
conventional_v3,Conventional v3,extra_trees,Extra Trees,4,2846,470,140,330,0.9769047619047619,0.951061350738064,0.8685064935064934,0.8359375,0.07240863385609554,0.5489017499921522
