feature_set,feature_set_name,model,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,xgboost,XGBoost,0.9726160997887552,0.01679363469959427,0.960218160776083,0.035476039614993855,0.9065078520243957,0.05850717729880258,0.8898077397954914,0.0791699363712901,0.0617179002263785,0.025094022211479834
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,catboost,CatBoost,0.9716027902980926,0.01929322903134524,0.9585697942671307,0.04085055407898004,0.9000899553615263,0.07149209143160076,0.8802650373492169,0.09821417568462291,0.06237287584983201,0.027542329737146168
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,lightgbm,LightGBM,0.9708824967720201,0.018494665772860575,0.9574334493063503,0.03875139535213905,0.82150859190111,0.08790618394362486,0.7718344642963737,0.14985038978169607,0.06592976304355494,0.028976467379753214
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9718092013999081,0.01800650915494413,0.956814306000559,0.03738560267009786,0.9139825881581081,0.05610962165465674,0.8968901111441554,0.0763696739797322,0.060258688503731304,0.025627929005135948
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,random_forest,Random Forest,0.9676908880023701,0.01799564442306483,0.9498285836095931,0.03999178771244133,0.8977831877746791,0.052215339878735285,0.8812975046966873,0.07173322681569712,0.07696085657075832,0.01674087565423858
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,extra_trees,Extra Trees,0.9657108780110797,0.020050337700348937,0.9480306990726352,0.04121118196750831,0.8466529620774897,0.06448653981509797,0.8138868381933815,0.08836364307929603,0.08519116193578542,0.018366416512760952
conventional_v3,Conventional v3,extra_trees,Extra Trees,0.9622060582362779,0.018417214500658623,0.9476275667773388,0.03677536109861734,0.7978729748487424,0.07030444165912617,0.7399156898001626,0.10869280582663579,0.10460930798029651,0.0273929061722553
conventional_v3,Conventional v3,catboost,CatBoost,0.9603960139924596,0.017072993992471253,0.9464248894080196,0.032400013048449826,0.8371587366648756,0.05555064571963239,0.8018846629225808,0.07793057445062786,0.08917633254789366,0.02934596938839736
conventional_v3,Conventional v3,stacked_l2_logistic,Spatial-CV Stacked Ensemble,0.9614453393907796,0.016389308013259465,0.9453531434692797,0.0350991122891424,0.8947043351085853,0.026323284784628816,0.8780032718487464,0.04148453051641936,0.07457452833154136,0.014698818868534677
conventional_v3,Conventional v3,random_forest,Random Forest,0.9611959359196112,0.013349212262393243,0.9440563209466314,0.03305474112306801,0.857849098733124,0.03527254201303009,0.8303393074360471,0.056862708017943735,0.08939821509525145,0.016446096568143564
conventional_v3,Conventional v3,xgboost,XGBoost,0.9576579708857287,0.018443932125418457,0.9419918847999291,0.03548706828538777,0.8530707637338164,0.04714846283177585,0.8252378244424017,0.06713499692796344,0.09183953267274216,0.03108061333472244
conventional_v3_alphaearth_embeddings,Conventional v3 + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),0.9593555507873113,0.028877910811382537,0.9404744521284369,0.05785865778572466,0.8773996089681602,0.07164914148832732,0.8542917930106354,0.10160793295361353,0.07829196489282715,0.03220864209148941
conventional_v3,Conventional v3,lightgbm,LightGBM,0.9564459356262269,0.01743753685070483,0.9380828192284154,0.0410196029232746,0.8011267408733758,0.05516668387256613,0.7476004239230055,0.08858650779453789,0.09891247731770865,0.02235155574141088
